id,Conservanc,GrazingBlo,Longitude,Latitude
107,Oldonyiro,Abori Seuko,37.2129184012,0.5908452907
108,Oldonyiro,Settlement,37.2391407224,0.5904400567
109,Oldonyiro,Lengwenyi,37.2126439535,0.5399569434
110,Oldonyiro,Lekurruki hills,37.2646321653,0.532061367
111,Oldonyiro,Kililio,37.2506643948,0.5547177097
112,Oldonyiro,Settlement,37.2221399059,0.5515854061
113,Oldonyiro,Core Area,37.3060565924,0.6065277481
114,Oldonyiro,Ndonyo Lengala,37.2744926044,0.5971736212
115,Oldonyiro,Settlement,37.2954100568,0.5682712503
116,Oldonyiro,Lemorogo,37.2522020147,0.5781283846
117,Naibunga,Nenkimanjoi,36.9328696786,0.5465460781
118,Naibunga,Tiemamut Settlement,37.0154440985,0.5242170467
119,Naibunga,Kijabe Settlement,37.0427569741,0.4938140631
120,Naibunga,Soito Naarok,37.105731765,0.4960722967
121,Naibunga,Morupusi Settlements,37.135744928,0.4492123876
122,Naibunga,Noosemuni,36.9618943203,0.4762700699
123,Naibunga,Oloishamu,37.0486553909,0.4491134719
124,Naibunga,Private Ranches,37.049279562,0.4339941288
125,Naibunga,Settlements,37.0767638395,0.3795759444
126,Naibunga,Makurian Holding Ground,37.1162926872,0.3861255915
127,Naibunga,Private Ranches,37.1132938611,0.3603474027
128,Naibunga,Kunanjo,36.8758714463,0.5519252378
129,Naibunga,Core Area,36.8819301979,0.5240934159
130,Naibunga,Nesunyai,36.8933112451,0.4968820373
131,Naibunga,Koija Settlement,36.9170622904,0.5224697774
132,Naibunga,Loolaurak,36.9237621971,0.5097257163
133,Naibunga,Lesiamito,36.9337199195,0.5270653266
134,Naibunga,Core Area,36.9012632109,0.4588664111
135,Naibunga,Lopurupurana,36.9175888187,0.482270676
136,Naibunga,Ilmotiok Settlement,36.919245364,0.4642356989
137,Naibunga,Olpurtien,36.9236438473,0.4510585083
138,Naibunga,Soito Naibor,36.9424757246,0.4689809989
139,Naibunga,Naserian,36.9420370893,0.4866741509
140,Naibunga,Naiperere,36.9547674121,0.4995754473
141,Naibunga,Oloshaiki,36.9762423821,0.4877492007
142,Naibunga,Tiemamut Settlement,36.9814498614,0.519935409
